Unix time,low,high,open,close,volume
1631484000,45281.52,45316.66,45281.52,45316.66,0.54174229
1631484060,45308.15,45318.72,45316.68,45310.45,0.10242555
1631484120,45310.45,45349.58,45310.45,45349.58,2.4531584
1631484180,45345.48,45350.6,45349.6,45345.48,0.0015422
1631484240,45345.48,45350.6,45345.5,45350.6,0.00330247
1631484360,45351.36,45351.36,45351.36,45351.36,0.033
1631484420,45351.36,45442.96,45351.36,45442.96,5.38800013
1631484480,45442.96,45444.39,45442.98,45444.39,0.00109925
1631484540,45348.73,45444.39,45444.39,45348.73,2.62395697
1631484600,45348.73,45370.15,45348.75,45370.13,0.20198272
1631484660,45371.36,45371.36,45371.36,45371.36,0.001
1631484720,45371.36,45371.36,45371.36,45371.36,0.001
1631484840,45371.36,45420.27,45371.36,45420.25,1.66010093
1631484900,45350.51,45420.46,45420.27,45385.98,5.85242198
1631484960,45363.35,45390.45,45386,45363.35,0.20264215
1631485020,45328.93,45371.36,45363.37,45328.93,2.17154184
1631485080,45302.63,45330.45,45328.95,45328.58,1.03242561
1631485140,45308.04,45330.45,45328.6,45308.04,0.20220494
1631485200,45310.45,45359.28,45310.45,45359.28,3.74977992
1631485260,45315.43,45359.83,45359.3,45315.43,0.43520185
1631485320,45315.43,45333.05,45315.45,45333.05,0.2011026
1631485380,45333.06,45349.98,45333.07,45349.98,0.10110216
1631485440,45349.98,45357.07,45350,45357.07,0.13420181
1631485500,45327.87,45358.19,45357.09,45327.87,2.34264388
1631485560,45327.87,45347.29,45327.89,45347.29,0.2011023
1631485620,45315.44,45351.36,45347.31,45315.44,0.67264425
1631485680,45315.44,45351.36,45315.46,45351.36,0.30220413
1631485860,45351.36,45370.91,45351.36,45370.91,1.3306609
1631485920,45370.91,45392.1,45370.91,45392.1,2.34022122
1631485980,45392.1,45392.12,45392.12,45392.1,0.00088054
1631486040,45393.24,45419.95,45393.24,45419.95,2.27022016
1631486100,45412.34,45421.02,45419.97,45421.02,0.60241998
1631486160,45419.09,45421.02,45421.02,45419.09,0.00044
1631486220,45417.16,45421.02,45419.11,45417.16,0.00132003
1631486280,45417.16,45421.02,45417.18,45421.02,0.00109989
1631486340,45421.02,45421.02,45421.02,45421.02,0.00219067
1631486400,45410,45410,45410,45410,0.00219067
1631486520,45421.36,45450.29,45421.36,45450.29,2.29022002
1631486580,45440,45450.81,45450.31,45440,0.00862965
1631486640,45450.81,45493.42,45450.81,45493.42,3.59165907
1631486700,45477.49,45491.36,45490,45477.49,1.33153786
1631486760,45450.68,45481.36,45477.51,45450.68,1.76348465
1631486820,45461.36,45540.49,45461.36,45540.49,3.24978055
1631486880,45540.49,45557.4,45540.51,45557.4,1.12219432
1631486940,45557.4,45557.42,45557.42,45557.4,0.00087734
1631487060,45561.37,45561.37,45561.37,45561.37,0.001
1631487180,45553.76,45553.78,45553.76,45553.76,0.00109694
1631487240,45550,45662.61,45550,45662.61,5.93789915
1631487300,45662.61,45662.72,45662.63,45662.72,0.00109396
1631487360,45662.14,45662.14,45662.14,45662.14,0.001
1631487420,45662.72,45666,45662.72,45666,0.14000032
1631487480,45666,45694.57,45666.02,45694.57,1.39431509
1631487540,45694.57,45768.35,45694.59,45768.35,4.8121855
1631487600,45768.35,45931.7,45768.35,45931.7,17.05449149
1631487660,45931.7,45941.38,45931.7,45941.38,0.00764484
1631487720,45941.38,46036.02,45941.38,46036.02,1.79366123
1631487780,46036.02,46036.04,46036.04,46036.02,0.00086822
1631487840,46018.39,46061.38,46051.38,46018.39,0.40130216
1631487900,46017.83,46018.46,46018.41,46017.83,0.00798988
1631487960,46018.46,46388.94,46018.46,46388.94,7.1572046
1631488320,46341.75,46341.75,46341.75,46341.75,0.00021578
1631488380,46339.47,46388.94,46341.77,46339.47,0.00150875
1631488440,46339.47,46388.94,46339.49,46366.97,0.10258638
1631488500,46311.36,46388.94,46366.99,46311.36,0.00129318
1631488560,46256.86,46388.94,46311.38,46256.86,0.00215854
1631488620,46242.99,46388.94,46254.56,46242.99,0.00151179
1631488680,46242.99,46388.94,46243.01,46254.17,0.00215987
1631488740,46231.67,46388.94,46231.67,46388.94,0.00129608
1631488800,46259.66,46388.94,46388.94,46259.82,0.00151127
1631488860,46216.68,46258.84,46258.84,46216.68,3.62021637
1631488920,46216.68,46216.7,46216.7,46216.68,0.00086482
1631488980,46231.33,46259.82,46259.82,46233.39,0.00172881
1631489040,46233.39,46261.55,46233.41,46261.53,0.27129712
1631489100,46250.96,46250.96,46250.96,46250.96,0.00021621
1631489160,46250.96,46388.94,46250.98,46310.23,0.00151059
1631489220,46298.78,46388.96,46310.25,46298.78,0.00215758
1631489340,46280.9,46388.96,46388.96,46280.9,0.00043131
1631489400,46280.9,46663.39,46280.92,46337.75,0.00129339
1631489460,46256.12,46663.39,46337.77,46256.12,0.00358622
1631489520,46256.12,46663.39,46256.14,46311.67,0.00258658
1631489580,46304.5,46663.39,46311.69,46306.99,0.00258607
1631489640,46284.78,46663.39,46307.01,46663.39,0.00237069
1631489760,46249.81,46430.96,46249.81,46430.96,0.00129546
1631489820,46156,46430.96,46156,46430.96,0.0012951
1631489880,46219.15,46663.39,46430.96,46219.15,0.00043103
1631489940,46219.15,46663.39,46219.17,46663.39,0.00237358
1631490060,46223.07,46663.39,46223.07,46237.5,0.00151128
1631490120,46230.02,46663.39,46237.52,46230.02,0.01167923
1631490180,46220.96,46230.04,46230.04,46220.96,0.00108091
1631490240,46211.12,46573,46220.98,46211.12,0.00150991
1631490300,46196.35,46573,46211.14,46196.35,3.31259261
1631490360,46150.3,46230.25,46196.37,46230.25,3.97168431
1631490600,46131.41,46573,46573,46131.41,0.00043116
1631490660,46075.33,46573.46,46131.43,46075.33,0.00259763
1631490720,46075.33,46289.27,46075.35,46289.27,0.00238319
1631490840,46036.16,46289.27,46289.27,46046.09,3.28173513
1631490900,46046.09,46051.38,46046.11,46050.99,0.13238718
1631490960,46050.99,46094.97,46051.01,46094.97,3.302735
1631491020,46094.97,46104.54,46094.97,46104.54,0.72000028
1631491080,46104.54,46105.86,46104.56,46105.86,0.00108348
1631491140,46056.44,46070,46070,46056.44,0.20108494
1631491200,46027.24,46061.38,46061.38,46027.24,2.090434031631491200,46027.24,46061.38,46061.38,46027.24,2.09043403
1631491260,46027.24,46031.38,46027.26,46031.11,0.00190783
1631491320,46031.11,46069.68,46031.13,46069.66,1.22151926
1631491380,46070.79,46131.98,46070.79,46131.98,5.00130055
1631491440,46122.6,46132.01,46132,46122.6,0.00129965
1631491500,46122.6,46132.01,46122.62,46132.01,0.00108302
1631491620,46165.23,46290.64,46289.27,46290.64,0.00151379
1631491680,46192.6,46290.64,46290.64,46192.6,0.00043218
1631491740,46192.6,46290.64,46192.62,46195.06,0.00259474
1631491800,46195.06,46290.64,46195.08,46202.28,0.00237859
1631491860,46170.47,46201.12,46201.12,46170.47,2.37208226
1631492040,46202.28,46205.15,46202.28,46205.13,0.47086535
1631492100,46206.39,46207.85,46206.44,46207.85,0.00151361
1631492160,46207.85,46256.6,46207.85,46256.6,2.69852341
