Unix time,low,high,open,close,volume
1632088020,46990.41,47848.82,47837,46990.41,2
1632088080,47519.21,47848.82,47848.82,47519.21,1.00420052
1632088140,47401.99,47864.69,47519.23,47401.99,2.00126172
1632088200,46979,47864.69,47402.01,47864.69,0.98114649
1632088260,46979,47864.69,46979,47416.39,1.00439966
1632088320,47416.39,56168.26,47416.41,47428.24,1.00147216
1632088380,47428.24,47571.43,47428.24,47571.43,1.00063125
1632088500,46682.92,47571.43,47416.93,47423.53,2.00210572
1632088560,47423.53,47434.45,47423.55,47434.43,0.00252916
1632088620,47430.24,50575.26,47571.43,47430.24,1.15551682
1632088680,47430.24,47430.26,47430.26,47430.24,1.00042135
1632088860,47513.54,50575.26,50575.26,47513.54,1.0012491
1632088920,47462.6,50603.1,50575.26,47476.69,2.99188168
1632088980,47476.69,47548.55,47476.71,47548.53,5.43105154
1632089040,47520.99,47548.57,47548.55,47520.99,0.0016818
1632089100,47548.57,47614.65,47548.57,47614.63,2.15041973
1632089160,47598.69,57240,47614.65,47598.69,0.04157961
1632089220,47598.69,57240.8,47598.71,51980.04,0.06505447
1632089280,49381.03,57255.89,57240.8,55813.76,1.04141353
1632089340,47561.43,57255.89,57255.89,56160,0.31418949
1632089400,47309.93,57256.42,47310,47539.82,1.14782678
1632089460,47481.29,56159.99,47539.84,47481.29,1.01792021
1632089520,47453.63,56159.99,47481.3,47475.79,1.01708783
1632089580,47412.77,47475.79,47453.17,47412.77,2.49189623
1632089640,47409.9,47475.79,47412.79,47414.14,0.05252849
1632089700,47407.53,47475.79,47414.16,47407.53,1.10997303
1632089760,47407.53,47407.55,47407.55,47407.53,0.00042155
1632089820,47405,47584.75,47405.32,47584.75,1.01543614
1632089880,47276.18,47584.75,47584.75,47276.18,0.59910926
1632090000,47584.75,47584.75,47584.75,47584.75,0.00209105
1632090060,47209.22,47584.75,47584.75,47209.22,0.00126829
1632090120,47187.2,47586.43,47586.43,47187.2,6.49084526
1632090180,47187.2,47187.22,47187.22,47187.2,0.01586293
1632090240,47132.33,47177,47177,47132.33,0.00275584
1632090300,47132.33,47586.43,47132.35,47586.43,0.00063383
1632090420,47106.08,47571.43,47139.78,47106.08,0.00296723
1632090480,47106.08,47571.43,47106.1,47571.43,0.00063413
1632090540,47090.74,47571.43,47091.1,47571.43,0.00322124
1632090660,47264.66,47264.68,47264.66,47264.66,1.00105721
1632090780,47232.29,47584.02,47571.43,47232.29,2.00211114
1632090840,47219.77,47605.25,47232.31,47219.77,2.00126784
1632090900,47171.97,47624.74,47219.79,47171.97,1.00147827
1632090960,47170.8,47625.38,47171.99,47170.8,1.05253769
1632091020,47170.8,47625.38,47170.82,47189.19,0.07253758
1632091080,47132.59,47189.39,47189.21,47132.59,4.11148284
1632091140,47092.3,47205.44,47132.61,47092.3,3.35127223
1632091200,47066.24,47217.84,47092.32,47217.84,1.14381047
1632091260,47068.89,47230.27,47217.84,47068.89,2.00084844
1632091320,47068.89,47246.8,47068.91,47246.8,2.00169715
1632091380,47107.08,47571.43,47571.43,47138.76,0.00211662
1632091440,47079.99,47596.85,47138.78,47079.99,2.00127061
1632091500,47056,47619.33,47080.01,47619.33,2.00190595
1632091560,47619.33,47641.35,47619.33,47641.35,1.001
1632091620,46834.55,47641.35,46856,46924,1.03856709
1632091680,46887.81,46924.18,46924.02,46887.81,2.01264333
1632091740,46924.18,47109.48,46924.18,47109.46,5.77148718
1632091800,47109.46,47279,47109.48,47110.14,0.96139334
1632091920,47045.9,50000.3,47279,50000.3,1.07385092
1632091980,52000,56169.46,56159.99,52000,0.87353017
1632092100,49140,56169.46,51740,56169.46,0.11174975
1632092160,47037.73,56169.46,56169.46,47037.73,0.19057924
1632092220,47007.04,56160,56160,47007.04,1.17081566
1632092280,46994.76,47040.09,47007.06,47040.09,3.19959021
1632092460,47040.09,47078.09,47040.09,47078.07,2.90147184
1632092520,47078.07,47078.39,47078.09,47078.39,0.00063659
1632092580,47081.09,47107.79,47081.09,47107.79,1
1632092640,47079,47105.94,47079,47105.92,1.17063652
1632092700,47105.92,47105.94,47105.94,47105.92,0.00253655
1632092760,47085.7,47107.79,47107.79,47085.7,0.00084876
1632092820,47085.7,47085.72,47085.72,47085.7,0.00042443
1632092880,47571.43,47595.94,47571.43,47595.94,0.97997509
1632092940,47027.37,47572.09,47572.09,47572.09,1.00148234
1632093000,47015.23,47599.72,47572.09,47025.88,0.98744525
1632093060,47016.16,47599.72,47025.9,47016.16,0.00227249
1632093120,46787.69,47599.72,47016.18,46999.99,3.07254557
1632093180,46999.99,47048.67,47000.01,47048.65,3.22212551
1632093240,47048.65,47076.24,47048.67,47076.22,1.3110617
1632093300,47076.22,49787,47076.24,49787,1.63942452
