Unix time,low,high,open,close,volume
1630879200,51725.37,51745.52,51745.52,51725.39,0.003510371630879260,51699.09,51725.39,51725.37,51699.25,0.0033191
1630879320,51680.17,51699.25,51699.23,51680.19,0.0023197
1630879380,51653.33,51680.19,51680.17,51653.35,0.00425599
1630879440,51610.72,51653.35,51653.33,51610.74,0.00432276
1630879500,51610.72,51651.41,51610.74,51622.3,0.00251547
1630879560,51612.73,51725.61,51622.28,51612.75,0.00232228
1630879620,51612.73,51662.69,51612.73,51662.69,0.00232202
1630879680,51642.32,51695.34,51662.67,51695.34,0.0042554
1630879740,51695.32,51808.76,51695.32,51711.88,0.00231863
1630879800,51704,51711.88,51711.88,51711.36,0.00351181
1630879860,51711.34,51722.16,51711.34,51722.16,0.00331854
1630879920,51690.55,51722.14,51722.14,51690.57,0.00231885
1630879980,51664.29,51690.57,51690.55,51664.31,0.0042552
1630880040,51664.29,51725.63,51664.29,51725.63,0.00424861
1630880100,51707.58,51725.63,51725.63,51707.6,0.00351146
1630880160,51702.73,51717.71,51707.58,51702.75,0.00331878
1630880220,51699.99,51708.76,51702.73,51708.76,0.00331916
1630880280,51708.74,51812.24,51708.74,51719.24,0.00425174
1630880340,51714.61,51815.87,51719.22,51782,0.00424701
1630880400,51754.44,51782,51782,51754.46,0.00250871
1630880460,51670.94,51754.46,51754.44,51678.07,0.00231988
1630880520,51672.57,51678.07,51678.05,51677.24,0.00232038
1630880580,51669.74,51684.01,51677.22,51669.76,0.00425561
1630880640,51636.09,51769.1,51669.74,51636.11,0.00425252
1630880700,51636.09,51651.85,51636.11,51651.85,0.00451511
1630880760,51641.4,51755.22,51651.83,51657.63,0.00232123
1630880820,51652.77,51761,51657.61,51673.48,0.00232071
1630880880,51673.46,51828.67,51673.46,51720.28,0.00717791
1630880940,51704.52,51720.28,51720.26,51704.54,0.0033187
1630881000,51704.52,51711.89,51704.54,51711.15,0.00251172
1630881060,51705.26,51810.2,51711.13,51705.28,0.00231858
1630881120,51701.58,51705.28,51705.26,51701.6,0.00231916
1630881180,51663.73,51701.6,51701.58,51663.75,0.00425194
1630881240,51663.73,51681.62,51663.73,51681.62,0.0023205
1630881300,51662.71,51824.29,51681.62,51693.87,0.00351283
1630881360,51686.79,51693.87,51693.85,51686.81,0.00231978
1630881420,51686.79,51709.7,51686.79,51709.7,0.00231942
1630881480,51709.68,51715.25,51709.68,51715.25,0.00424854
1630881540,51709.67,51715.25,51715.23,51712.25,0.00331874
1630881600,51692.31,51716.42,51712.25,51716.42,0.00351203
1630881660,51681.32,51716.42,51716.4,51681.34,0.00231976
1630881720,51665.84,51691.74,51681.32,51665.86,0.00332014
1630881780,51665.84,51675.09,51665.84,51674.48,0.00525178
1630881840,51674.46,51819.25,51674.46,51721.51,1.00331841
1630881900,51721.49,51745.62,51721.51,51745.62,0.0025103
1630881960,51740.81,51745.75,51745.6,51740.83,1.00231734
1630882020,51739.77,51752.21,51740.81,51752.21,0.0023173
1630882080,51752.19,51807.32,51752.19,51807.32,0.00231498
1630882140,51800,51819.25,51807.3,51800.02,1.00424074
1630882200,51792.34,51819.25,51800.02,51792.36,0.00350742
1630882260,51778.41,51819.25,51792.34,51792.19,0.00231522
1630882320,51792.17,51824.29,51792.17,51811.16,0.00231441
1630882380,51810.75,51845.4,51811.14,51845.4,1.01099311
1630882440,51840.65,51846.52,51845.38,51846.52,0.00231284
1630882500,51846.5,51867.43,51846.52,51867.43,0.00350467
1630882560,51863.83,51867.43,51867.41,51867.19,0.00231191
1630882620,51867.17,51904.95,51867.17,51904.95,0.00331128
1630882680,51871.26,51918.72,51904.93,51871.28,1.00231085
1630882740,51802.01,51871.28,51871.26,51814.25,0.00231402
1630882800,51814.23,51868.45,51814.25,51860.88,0.00250477
1630882860,51841.34,51860.88,51860.86,51841.36,0.00231271
1630882920,51810.84,51918.72,51841.34,51810.86,0.00331367
1630882980,51788.53,51810.86,51810.84,51794.74,0.00331507
1630883040,51785.45,51794.74,51794.72,51789.49,0.00231533
1630883100,51769.72,51792.96,51789.49,51792.96,0.00350827
1630883160,51777.29,51794.26,51792.94,51777.31,0.00331534
1630883220,51777.29,51793.71,51777.29,51786.83,0.00231535
1630883280,51785.87,51817.31,51786.81,51817.31,0.00231497
1630883340,51817.29,51823,51817.29,51823,0.00231382
1630883400,51822.98,51918.72,51823,51863.92,0.00250513
1630883460,51851.14,51877.73,51863.9,51877.73,0.00431205
1630883520,51823.06,51878.38,51877.71,51823.08,0.00231212
1630883580,51791.36,51823.08,51823.06,51791.38,0.0043148
1630883640,51791.36,51895.03,51791.36,51794.74,0.00231435
