Unix time,low,high,open,close,volume
1630533600,48449.55,48500.79,48449.57,48491.22,0.00702452
1630533660,48484,48500.79,48491.24,48484,0.00247277
1630533720,48484,48531.98,48484.02,48531.98,0.01032221
1630533780,48531.98,48556.7,48532,48546.03,0.00350225
1630533840,48504.2,49656.49,48546.05,48504.2,0.01223662
1630533900,48504.2,48613.11,48504.22,48613.11,0.00247028
1630533960,48588.37,48613.13,48613.11,48590.03,0.13043176
1630534020,48590.03,48610.29,48590.05,48610.29,0.00246759
1630534080,48603.82,48611.1,48610.31,48611.1,0.00349354
1630534140,48611.1,48669.9,48611.12,48669.88,0.00427024
1630534200,48653.61,49656.49,48669.9,48653.61,0.00854836
1630534260,48653.61,48700.64,48653.63,48700.64,0.20265199
1630534320,48694.24,48707.43,48700.66,48694.24,0.00246195
1630534380,48694.24,48765.02,48694.26,48765.02,0.00533019
1630534440,48757.7,48765.04,48765.04,48758.14,4.1951699
1630534500,48730.45,48758.16,48758.16,48730.45,0.00245941
1630534560,48685.61,48730.47,48730.47,48685.61,0.00246203
1630534620,48641.35,48685.63,48685.63,48656.42,0.00246412
1630534680,48656.42,49656.49,48656.44,48669.15,0.009576
1630534740,48632.5,48673.19,48669.17,48632.5,0.00246379
1630534800,48610.77,48632.52,48632.52,48610.77,17.20632851
1630534860,48581.16,48610.79,48610.79,48581.16,0.00246722
1630534920,48581.16,48605,48581.18,48583.61,0.00246761
1630534980,48583.61,48626.57,48583.63,48613.75,0.20735755
1630535040,48575.98,49656.49,48613.77,48575.98,1.0013613
1630535100,48573.27,48584.88,48576,48573.29,0.20834269
1630535160,48573.27,49656.49,48573.29,48574.04,0.00855274
1630535220,48574.04,48590.5,48574.06,48590.5,0.70243059
1630535280,48590.5,48610.54,48590.52,48608.19,0.00349365
1630535340,48600.93,48608.21,48608.21,48603.93,0.00246698
1630535400,48593.6,48603.95,48603.95,48600.3,0.00246731
1630535460,48579.44,48600.32,48600.32,48579.44,0.00246782
1630535520,48551.4,48579.46,48579.46,48551.4,0.00246885
1630535580,48490.87,49656.49,48551.42,48490.87,0.01059558
1630535640,48451.49,48490.89,48490.89,48451.49,0.00247319
1630535700,48423.55,48451.51,48451.51,48423.55,0.0024756
1630535760,48355.56,49656.49,48423.57,48355.56,0.00856145
1630535820,48306.38,48355.58,48355.58,48306.38,0.0024803
1630535880,48306.38,48364.27,48306.4,48364.27,0.42691247
1630535940,48364.25,48419.14,48364.27,48419.14,0.002478
1630536000,48419.14,48488.95,48419.16,48488.93,0.04647555
1630536060,48488.93,48524.26,48488.95,48524.26,0.00247197
1630536120,48519.97,48553.1,48524.28,48553.1,0.00247112
1630536180,48489.07,48553.12,48553.12,48489.07,0.00350045
1630536240,48455.1,48489.09,48489.09,48456.02,0.00350298
1630536300,48456.02,49656.49,48456.04,48517.76,0.0085569
1630536360,48517.22,48517.78,48517.78,48517.22,0.00247146
1630536420,48479.85,48517.24,48517.24,48479.85,0.00247228
1630536480,48478.27,49656.49,48479.87,48478.27,0.00855732
1630536540,48414.12,48478.29,48478.29,48414.12,0.00350103
1630536600,48414.12,48439,48414.14,48419.29,0.04996149
1630536660,48374.1,48419.31,48419.31,48374.1,0.06620121
1630536720,48363.2,48374.12,48374.1,48363.2,0.07198104
1630536780,48363.2,48385.98,48363.22,48383.54,1.06618308
1630536840,48383.54,48410.14,48383.54,48410.14,0.07302775
