Unix time,low,high,open,close,volume
1628301600,43136.22,43236.47,43229.79,43136.24,23.2181308
1628301540,43229.79,43244.78,43241.49,43229.81,0.009273
1628301480,43241.49,43326.47,43318.87,43241.51,0.01527015
1628301420,43318.87,43364.69,43364.67,43318.89,0.00276697
1628301360,43281.41,43364.69,43281.41,43364.69,0.80512394
1628301300,43231.64,43281.43,43231.64,43281.43,0.01327194
1628301240,43214.05,43231.66,43215.55,43231.66,0.00704345
1628301180,43215.55,43223.7,43223.68,43215.57,0.2735335
1628301120,43173.62,43223.7,43173.62,43223.7,0.00904473
1628301060,43170.16,43173.64,43170.16,43173.64,0.00277742
1628301000,43170.16,43194.98,43194.96,43170.18,0.70527641
1628300940,43189.63,43211.08,43189.63,43194.98,0.00277557
1628300880,43189.63,43226.47,43222.75,43189.65,0.00277503
1628300820,43159.48,43222.77,43159.48,43222.77,0.05931432
1628300760,43125.33,43176.47,43125.33,43159.5,0.00277902
1628300700,43125.33,43196.47,43187.2,43125.35,0.00727761
1628300640,43140.21,43206.05,43206.03,43187.22,0.00777758
1628300580,43115.44,43206.05,43115.44,43206.05,0.01777796
1628300520,43097.75,43115.46,43098.86,43115.46,1.43278202
1628300460,43098.86,43130.01,43129.99,43098.88,0.00478044
1628300400,43129.97,43130.01,43129.98,43130.01,0.0027801
1628300340,43120,43130,43120,43130,0.0047804
1628300280,43096.91,43120.02,43096.91,43120.02,0.00728163
1628300220,43075.33,43096.93,43082.27,43096.93,0.0047833
1628300160,43067.38,43082.29,43067.38,43082.29,0.0027836
1628300100,43067.38,43102.24,43102.22,43067.4,0.00478324
1628300040,43055.38,43102.24,43055.38,43102.24,0.01578329
1628299980,43036.11,43055.4,43036.11,43055.4,0.00278559
1628299920,43028.75,43052.77,43028.75,43036.13,0.00728584
1628299860,42985.84,43028.77,42985.84,43028.77,0.0047887
1628299800,42985.84,43036.47,43024.66,42985.86,0.00528724
1628299740,43007.06,43034.68,43007.06,43024.68,0.00505485
1628299680,42988.38,43009.02,43009,43007.08,0.01304915
1628299620,43009,43078.92,43078.9,43009.02,0.01578592
1628299560,43064.2,43088.3,43064.2,43078.92,0.00528348
1628299500,43043.39,43094.1,43094.08,43064.22,0.00528444
1628299440,43094.08,43116.31,43116.29,43094.1,2.9427813
1628299380,42992.63,43116.31,42992.63,43116.31,24.12101315
1628299320,42979.05,42992.65,42979.05,42992.65,0.00705722
1628299260,42933.27,42979.07,42933.27,42979.07,0.01179152
1628299200,42907.9,42933.29,42907.9,42933.29,0.00456105
1628299140,42907.9,42933.29,42933.27,42907.92,0.00479366
1628299080,42916.55,42956.47,42950.55,42933.29,0.00279285
1628299020,42920.92,42950.57,42920.92,42950.57,0.00679238
1628298960,42899.99,42920.94,42899.99,42920.94,0.00929426
1628298900,42846.38,42900.01,42869.2,42900.01,0.00779748
1628298840,42869.2,42908.99,42908.97,42869.22,0.02879589
1628298780,42881,42912.97,42912.95,42908.99,0.0027953
1628298720,42880.01,42912.97,42880.01,42912.97,0.00279505
1628298660,42880.01,43017.77,43017.77,42880.03,0.06328926
1628298600,43017.75,43054.46,43054.44,43017.77,0.0117859
1628298540,43054.44,43109.11,43109.09,43054.46,0.00678319
1628298480,43100,43109.11,43102.4,43109.11,0.00437948
1628298420,43087.15,43110.82,43087.15,43102.4,0.194782
1628298360,43044.82,43087.17,43044.82,43087.17,0.0027837
1628298300,43044.82,43052.22,43046.21,43044.84,0.00278536
1628298240,43046.21,43093.89,43093.87,43046.23,23.32753553
1628298180,43093.87,43156.47,43128.87,43093.89,0.00928045
1628298120,43121.81,43156.47,43149.36,43128.89,0.01527983
1628298060,43149.36,43211.24,43211.22,43149.38,0.01127746
1628298000,43211.22,43288.47,43288.45,43211.24,0.00904142
1628297940,43238.29,43288.47,43238.29,43288.47,0.34852647
1628297880,43227.82,43244.93,43227.82,43238.31,0.10812194
1628297820,43197.42,43229.09,43197.42,43227.84,0.22483408
1628297760,43169.4,43197.44,43169.4,43197.44,0.13226408
1628297700,43169.4,43176.47,43170.13,43169.42,0.00277745
1628297640,43096.16,43170.15,43121.78,43170.15,0.20383408
1628297580,43024.69,43127.61,43024.69,43121.8,0.63773156
1628297520,42994.94,43024.71,42994.94,43024.71,0.0047883
1628297460,42992.7,42996.55,42996.53,42994.96,0.00278887
1628297400,42996.53,42999.15,42999.13,42996.55,0.0027887
1628297340,42984.98,42999.15,42984.99,42999.15,0.12487412
1628297280,42969.99,42988.95,42969.99,42985.01,0.0027902
